"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","03.12.2021 16:00 - 03.12.2021 17:00 (CET)","N/A","1032","N/A","N/A","N/A","N/A","N/A","N/A","N/A","216","","137","805","N/A","N/A","N/A","N/A","n/e","N/A","n/e","88"
"Bosnia and Herz. (BA)","03.12.2021 17:00 - 03.12.2021 18:00 (CET)","N/A","1184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","216","","145","688","N/A","N/A","N/A","N/A","n/e","N/A","n/e","104"
"Bosnia and Herz. (BA)","03.12.2021 18:00 - 03.12.2021 19:00 (CET)","N/A","1342","N/A","N/A","N/A","N/A","N/A","N/A","N/A","216","","121","890","N/A","N/A","N/A","N/A","n/e","N/A","n/e","98"
"Bosnia and Herz. (BA)","03.12.2021 19:00 - 03.12.2021 20:00 (CET)","N/A","1100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","215","","113","901","N/A","N/A","N/A","N/A","n/e","N/A","n/e","84"
"Bosnia and Herz. (BA)","03.12.2021 20:00 - 03.12.2021 21:00 (CET)","N/A","1172","N/A","N/A","N/A","N/A","N/A","N/A","N/A","215","","120","583","N/A","N/A","N/A","N/A","n/e","N/A","n/e","91"
"Bosnia and Herz. (BA)","03.12.2021 21:00 - 03.12.2021 22:00 (CET)","N/A","1161","N/A","N/A","N/A","N/A","N/A","N/A","N/A","143","","140","745","N/A","N/A","N/A","N/A","n/e","N/A","n/e","49"
"Bosnia and Herz. (BA)","03.12.2021 22:00 - 03.12.2021 23:00 (CET)","N/A","1208","N/A","N/A","N/A","N/A","N/A","N/A","N/A","142","","180","573","N/A","N/A","N/A","N/A","n/e","N/A","n/e","85"
"Bosnia and Herz. (BA)","03.12.2021 23:00 - 04.12.2021 00:00 (CET)","N/A","1215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","47","","147","581","N/A","N/A","N/A","N/A","n/e","N/A","n/e","68"
"Bosnia and Herz. (BA)","04.12.2021 00:00 - 04.12.2021 01:00 (CET)","N/A","1160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","140","696","N/A","N/A","N/A","N/A","n/e","N/A","n/e","60"
"Bosnia and Herz. (BA)","04.12.2021 01:00 - 04.12.2021 02:00 (CET)","N/A","1158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","140","688","N/A","N/A","N/A","N/A","n/e","N/A","n/e","43"
"Bosnia and Herz. (BA)","04.12.2021 02:00 - 04.12.2021 03:00 (CET)","N/A","1159","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","139","687","N/A","N/A","N/A","N/A","n/e","N/A","n/e","26"
"Bosnia and Herz. (BA)","04.12.2021 03:00 - 04.12.2021 04:00 (CET)","N/A","1151","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","139","680","N/A","N/A","N/A","N/A","n/e","N/A","n/e","12"
"Bosnia and Herz. (BA)","04.12.2021 04:00 - 04.12.2021 05:00 (CET)","N/A","1148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","139","684","N/A","N/A","N/A","N/A","n/e","N/A","n/e","12"
"Bosnia and Herz. (BA)","04.12.2021 05:00 - 04.12.2021 06:00 (CET)","N/A","1147","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","140","690","N/A","N/A","N/A","N/A","n/e","N/A","n/e","15"
"Bosnia and Herz. (BA)","04.12.2021 06:00 - 04.12.2021 07:00 (CET)","N/A","1170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","63","","140","657","N/A","N/A","N/A","N/A","n/e","N/A","n/e","5"
"Bosnia and Herz. (BA)","04.12.2021 07:00 - 04.12.2021 08:00 (CET)","N/A","1182","N/A","N/A","N/A","N/A","N/A","N/A","N/A","146","","141","660","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","04.12.2021 08:00 - 04.12.2021 09:00 (CET)","N/A","1171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","189","","129","697","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.12.2021 09:00 - 04.12.2021 10:00 (CET)","N/A","1184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","185","","135","716","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
