timestep,temperature
183,0.3400000000000001
184,-0.18000000000000005
185,-0.34875
186,-0.5362499999999998
187,-0.6399999999999999
188,-0.7412499999999997
189,-0.8762500000000002
190,-1.2400000000000002
191,-1.5712499999999998
192,-1.7987499999999996
193,-2.085
194,-2.2587500000000005
195,-2.3549999999999995
196,-2.38
197,-2.2375000000000003
198,-2.05625
199,-1.8675
200,-0.7650000000000001
201,0.6512499999999999
202,1.6375000000000002
203,2.51125
204,2.9724999999999997
205,2.9475
206,2.40125
207,1.1700000000000002
208,-0.40249999999999986
209,-0.9425000000000001
210,-1.105
211,-1.1875
212,-1.3175
213,-1.5799999999999996
214,-1.8225000000000002
215,-2.015
216,-2.255
217,-2.4324999999999997
218,-2.5325
219,-2.6037500000000007
220,-2.6550000000000002
221,-2.6774999999999998
222,-2.7024999999999997
223,-2.6612500000000003
224,-2.0799999999999996
225,-1.3112499999999998
226,-0.735
227,-0.3862500000000002
228,-0.26375000000000015
229,-0.4062499999999998
230,-0.7787499999999998
231,-1.3899999999999997
232,-2.0649999999999995
233,-2.325
234,-2.5112499999999995
235,-2.7125000000000004
236,-2.8637500000000005
237,-2.9587499999999998
238,-2.9912499999999995
239,-3.0012499999999998
240,-3.04125
241,-3.0637499999999998
242,-3.12
243,-3.209999999999999
244,-3.3475
245,-3.5175000000000005
246,-3.6975000000000002
247,-3.8274999999999997
248,-3.068749999999999
249,-2.0924999999999994
250,-1.34625
251,-0.825
252,-0.55375
253,-0.5275
254,-0.83625
255,-1.8974999999999995
256,-3.94125
257,-4.94625
258,-5.377500000000001
259,-5.64625
260,-5.890000000000001
261,-6.12
262,-6.385
263,-6.6575
264,-6.9075
265,-7.2025
266,-7.66125
267,-8.192499999999999
268,-8.53625
269,-8.375
270,-8.14375
271,-7.7562500000000005
272,-5.91125
273,-3.5212499999999998
274,-1.7
275,-0.5637500000000001
276,0.18874999999999997
277,0.62625
278,0.5750000000000001
279,-0.2749999999999999
280,-1.9687499999999998
281,-2.7224999999999993
282,-3.1275
283,-3.35875
284,-3.3687500000000004
285,-3.35125
286,-3.4600000000000004
287,-3.51375
288,-3.4925000000000006
289,-3.6549999999999994
290,-4.02375
291,-4.07625
292,-3.676249999999999
293,-3.2062499999999994
294,-2.7737499999999997
295,-2.4524999999999997
296,-1.6324999999999998
297,-0.50625
298,0.3712500000000002
299,1.115
300,1.6875
301,2.06
302,2.125
303,0.86875
304,-1.1212499999999999
305,-1.8125
306,-1.9049999999999998
307,-1.7437499999999995
308,-1.5987500000000001
309,-1.2924999999999995
310,-0.8262499999999998
311,-0.36624999999999996
312,-0.22000000000000008
313,-0.022499999999999964
314,0.3225000000000001
315,0.5599999999999999
316,0.7662500000000001
317,0.9662499999999998
318,1.15875
319,1.1975
320,1.625
321,2.2975
322,3.1174999999999997
323,3.8712500000000003
324,4.20125
325,4.235
326,3.93
327,2.53375
328,0.45125000000000015
329,-0.6174999999999999
330,-1.2137499999999999
331,-1.4187500000000004
332,-1.5137500000000002
333,-1.5050000000000001
334,-1.8087499999999999
335,-2.295
336,-1.81375
337,-1.6825
338,-2.25375
339,-3.1050000000000004
340,-4.16625
341,-5.220000000000001
342,-5.95375
343,-6.254999999999999
344,-4.655
345,-2.5062499999999996
346,-0.9849999999999999
347,0.02499999999999991
348,0.53625
349,0.8262499999999999
350,0.7387500000000001
351,-0.3287499999999999
352,-2.75
353,-3.43375
354,-3.47625
355,-3.5725000000000002
