YEAR;MO;DY;HR;T2M
2018;1;16;10;2.69
2018;1;16;11;3.95
2018;1;16;12;4.81
2018;1;16;13;5.07
2018;1;16;14;4.72
2018;1;16;15;3.89
2018;1;16;16;2.95
2018;1;16;17;2.83
2018;1;16;18;3.08
2018;1;16;19;3.19
2018;1;16;20;3.15
2018;1;16;21;3.06
2018;1;16;22;3.12
2018;1;16;23;3.32
2018;1;17;0;3.64
2018;1;17;1;3.78
2018;1;17;2;4.01
2018;1;17;3;4.49
2018;1;17;4;4.98
2018;1;17;5;5.28
2018;1;17;6;5.58
2018;1;17;7;5.99
2018;1;17;8;6.76
2018;1;17;9;7.38
2018;1;17;10;7.24
2018;1;17;11;6.59
2018;1;17;12;5.83
2018;1;17;13;4.23
2018;1;17;14;1.99
2018;1;17;15;0.26
2018;1;17;16;-0.79
2018;1;17;17;-1.1
2018;1;17;18;-1.19
2018;1;17;19;-1.17
2018;1;17;20;-1.04
2018;1;17;21;-1.4
2018;1;17;22;-2.13
2018;1;17;23;-3.2
2018;1;18;0;-4.35
2018;1;18;1;-4.82
2018;1;18;2;-4.29
2018;1;18;3;-3.62
2018;1;18;4;-3.75
2018;1;18;5;-4.27
2018;1;18;6;-4.82
2018;1;18;7;-4.7
2018;1;18;8;-1.7
2018;1;18;9;0.6
2018;1;18;10;1.87
2018;1;18;11;2.68
2018;1;18;12;3.26
2018;1;18;13;3.51
2018;1;18;14;3.17
2018;1;18;15;1.19
2018;1;18;16;-1.78
2018;1;18;17;-1.65
2018;1;18;18;-1.3
2018;1;18;19;-1.1
2018;1;18;20;-1.07
2018;1;18;21;-1.02
2018;1;18;22;-1.02
2018;1;18;23;-0.98
2018;1;19;0;-0.81
2018;1;19;1;-0.51
2018;1;19;2;-0.17
2018;1;19;3;0.16
2018;1;19;4;0.64
2018;1;19;5;1.48
2018;1;19;6;2.01
2018;1;19;7;2.38
2018;1;19;8;3.33
2018;1;19;9;4.39
2018;1;19;10;5.26
2018;1;19;11;6.01
2018;1;19;12;6.37
2018;1;19;13;6.15
2018;1;19;14;5.44
2018;1;19;15;4.35
2018;1;19;16;3.34
2018;1;19;17;3.39
2018;1;19;18;3.68
2018;1;19;19;3.55
2018;1;19;20;2.9
2018;1;19;21;1.81
2018;1;19;22;0.42
2018;1;19;23;-1.15
2018;1;20;0;-2.13
2018;1;20;1;-2.88
2018;1;20;2;-3.2
2018;1;20;3;-3.37
2018;1;20;4;-3.6
2018;1;20;5;-3.9
2018;1;20;6;-4.8
2018;1;20;7;-4.11
2018;1;20;8;-2.31
2018;1;20;9;-0.42
2018;1;20;10;1.08
2018;1;20;11;2.12
2018;1;20;12;2.55
2018;1;20;13;2.44
2018;1;20;14;1.9
2018;1;20;15;0.19
2018;1;20;16;-3.31
2018;1;20;17;-5.05
2018;1;20;18;-5.62
2018;1;20;19;-5.45
2018;1;20;20;-4.83
2018;1;20;21;-4.46
2018;1;20;22;-4.49
2018;1;20;23;-4.38
2018;1;21;0;-3.93
2018;1;21;1;-2.31
2018;1;21;2;-1.3
2018;1;21;3;-0.72
2018;1;21;4;-0.09
2018;1;21;5;0.15
2018;1;21;6;0.59
2018;1;21;7;0.9
2018;1;21;8;1.66
2018;1;21;9;2.55
2018;1;21;10;2.78
2018;1;21;11;2.55
2018;1;21;12;2.26
2018;1;21;13;2.01
2018;1;21;14;1.69
2018;1;21;15;1.06
2018;1;21;16;-0.37
2018;1;21;17;-1.15
2018;1;21;18;-1.68
2018;1;21;19;-2.03
2018;1;21;20;-2.51
2018;1;21;21;-3.15
2018;1;21;22;-3.56
2018;1;21;23;-3.63
2018;1;22;0;-3.48
2018;1;22;1;-3.29
2018;1;22;2;-3.32
2018;1;22;3;-3.58
2018;1;22;4;-3.97
2018;1;22;5;-4.42
2018;1;22;6;-4.61
2018;1;22;7;-4.62
2018;1;22;8;-4.02
2018;1;22;9;-2.94
2018;1;22;10;-1.68
2018;1;22;11;-0.6
2018;1;22;12;0.07
2018;1;22;13;0.26
2018;1;22;14;-0.02
2018;1;22;15;-1.13
2018;1;22;16;-3.31
2018;1;22;17;-4.57
2018;1;22;18;-5.23
2018;1;22;19;-5.16
2018;1;22;20;-4.94
2018;1;22;21;-4.83
2018;1;22;22;-4.71
2018;1;22;23;-4.51
2018;1;23;0;-4.48
2018;1;23;1;-4.46
2018;1;23;2;-4.2
2018;1;23;3;-3.89
2018;1;23;4;-3.64
2018;1;23;5;-3.74
2018;1;23;6;-3.78
2018;1;23;7;-3.13
2018;1;23;8;-1.17
2018;1;23;9;0.51
2018;1;23;10;1.69
2018;1;23;11;2.31
2018;1;23;12;2.3
2018;1;23;13;1.91
2018;1;23;14;1.27
2018;1;23;15;0.23
2018;1;23;16;-1.1
2018;1;23;17;-1.58
