timestep,temperature
218,11.0
219,10.8
220,11.200000000000001
221,11.4
222,11.6
223,11.700000000000001
224,11.5
225,12.200000000000001
226,12.200000000000001
227,13.700000000000001
228,13.200000000000001
229,12.0
230,9.0
231,8.8
232,8.1
233,7.6000000000000005
234,7.4
235,7.1000000000000005
236,6.9
237,6.4
238,6.2
239,6.1000000000000005
240,6.0
241,6.0
242,5.9
243,5.8
244,5.6000000000000005
245,5.5
246,5.3
247,5.9
248,5.0
249,5.1000000000000005
250,5.2
251,5.4
252,5.8
253,5.8
254,5.8
255,5.8
256,5.4
257,5.0
258,4.8
259,4.8
260,4.8
261,4.8
262,4.5
263,4.2
264,3.8000000000000003
265,3.6
266,3.4
267,3.2
268,3.1
269,3.1
270,3.2
271,3.2
272,3.8000000000000003
273,4.4
274,5.0
275,5.2
276,4.8
277,4.7
278,5.0
279,5.0
280,4.6000000000000005
281,4.4
282,4.2
283,4.0
284,3.8000000000000003
285,3.8000000000000003
286,3.8000000000000003
287,3.8000000000000003
288,3.8000000000000003
289,3.8000000000000003
290,3.8000000000000003
291,3.6
292,3.4
293,3.4
294,3.6
295,3.8000000000000003
296,3.8000000000000003
297,4.2
298,4.0
299,4.4
300,5.0
301,5.1000000000000005
302,4.8
303,4.4
304,4.0
305,3.2
306,2.8000000000000003
307,2.5
308,2.4
309,2.2
310,2.2
311,2.0
312,2.0
313,1.8
314,1.5
315,1.4000000000000001
316,1.4000000000000001
317,1.2
318,1.2
319,1.1
320,1.2
321,1.8
322,2.2
323,2.4
324,1.2
325,1.6
326,1.5
327,0.9
328,0.4
329,0.2
330,-0.2
331,-0.3
332,-0.3
333,-0.4
334,-0.4
335,-0.4
336,-0.4
337,-0.3
338,-0.3
339,-0.2
340,-0.1
341,0.0
342,0.6
343,-0.4
344,0.1
345,0.4
346,0.8
347,0.6
348,1.2
349,0.8
350,0.0
351,0.1
352,0.2
353,0.3
354,0.3
355,0.4
356,0.4
357,0.6
358,0.6
359,0.5
360,0.4
361,0.4
362,0.5
363,0.6
364,0.5
365,0.4
366,1.0
367,1.4000000000000001
368,2.4
369,5.4
370,6.8
371,7.6000000000000005
372,7.8
373,8.2
374,8.5
375,8.0
376,7.8
377,7.5
378,7.6000000000000005
379,7.5
380,7.4
381,8.2
382,8.2
383,8.0
384,7.9
385,8.2
386,8.4
387,8.6
388,8.8
389,9.0
390,8.8
391,9.6
392,10.0
393,10.200000000000001
394,10.200000000000001
395,9.200000000000001
396,7.9
397,3.4
398,0.4
399,0.4
400,0.5
401,0.7000000000000001
402,0.4
403,0.2
404,0.1
405,0.1
406,0.0
407,-0.2
408,-0.4
409,-0.7000000000000001
410,-1.2
411,-1.8
412,-2.0
413,-2.4
414,-2.8000000000000003
415,-3.2
416,-1.0
417,0.4
418,1.2
419,2.5
420,4.4
421,4.6000000000000005
422,5.0
423,3.4
424,1.4000000000000001
425,0.7000000000000001
426,0.2
427,0.0
428,-0.1
429,1.2
430,2.4
431,3.3000000000000003
432,3.8000000000000003
433,4.5
434,4.8
435,5.0
436,5.0
437,4.9
438,4.9
439,5.4
440,6.6000000000000005
441,8.0
442,7.6000000000000005
443,8.1
444,9.6
445,9.200000000000001
446,8.8
447,8.6
448,7.6000000000000005
449,7.2
450,7.6000000000000005
451,7.6000000000000005
452,7.6000000000000005
453,4.8
454,2.7
455,0.6
456,0.3
457,0.2
458,0.2
459,0.1
460,0.0
461,-0.1
462,-0.2
463,0.0
464,0.3
465,0.4
466,0.0
467,1.1
468,0.8
469,2.0
470,1.2
471,1.0
472,0.4
473,0.1
474,-0.6
475,-1.0
476,-1.4000000000000001
477,-1.4000000000000001
478,-1.6
479,-1.2
480,-0.8
481,0.2
482,0.8
483,1.6
484,2.8000000000000003
485,4.4
486,5.6000000000000005
487,6.0
488,6.0
